id,word,definition,instructions,videoUrl,firstLetter,createdAt,updatedAt
1,Accept,"accept or agree","With two open hands facing downward, do a pinching motion toward your chest. "flowering motion"","<iframe width="560" height="315" src="https://www.youtube.com/embed/LOz335nlcgQ" frameborder="0" allow="autoplay; encrypted-media" allowfullscreen></iframe>",A,"2018-09-12 20:32:33","2018-09-12 20:32:33"
2,Again,"again or repeat","Have your right hand flat and your left hang arching up then down with your fingers touching the center of your right hand.","<iframe width="560" height="315" src="https://www.youtube.com/embed/AoQAPgEUIAs" frameborder="0" allow="autoplay; encrypted-media" allowfullscreen></iframe>",A,"2018-09-12 20:57:30","2018-09-12 20:57:30"
3,Bed,Bed,"Place both hands beside your head flat and tilt your head.","<iframe width="560" height="315" src="https://www.youtube.com/embed/Btm85a-1LuM" frameborder="0" allow="autoplay; encrypted-media" allowfullscreen></iframe>",B,"2018-09-12 21:01:11","2018-09-12 21:01:11"
4,Body,Body,"With both hands, touch your shoulders then your belly.","<iframe width="560" height="315" src="https://www.youtube.com/embed/jRVH-ssJgvY" frameborder="0" allow="autoplay; encrypted-media" allowfullscreen></iframe>",B,"2018-09-12 21:03:42","2018-09-12 21:03:42"
5,"Call Me","Call me","Make an X with both hands but use you pointer and middle finger. Starting from an outward position, pull the X toward you.","<iframe width="560" height="315" src="https://www.youtube.com/embed/_nNqWh1oeDo" frameborder="0" allow="autoplay; encrypted-media" allowfullscreen></iframe>",C,"2018-09-12 21:06:07","2018-09-12 21:06:07"
6,Community,"Community or organization of a group of people to form a collaborative society.","With both hands, straiten your hands and alternate running your fingers across each other. As one pulls back the other goes outward.","<iframe width="560" height="315" src="https://www.youtube.com/embed/ullwVrgZsPE" frameborder="0" allow="autoplay; encrypted-media" allowfullscreen></iframe>",C,"2018-09-12 21:11:49","2018-09-12 21:11:49"
7,Deaf,"The inability to hear properly.","Point to your mouth then your ear. Or vice versa.","<iframe width="560" height="315" src="https://www.youtube.com/embed/bHRhz2geOTA" frameborder="0" allow="autoplay; encrypted-media" allowfullscreen></iframe>",D,"2018-09-12 21:15:22","2018-09-12 21:15:22"
8,Download,"The transfer or copy of data from one place to another.","With both hands extended outward, make 'bunny ears" or have two fingers in each hand pointed. Starting from the top, bring them down by curling your fingers mid way down then open up the two fingers in each hand back up on the bottom.","<iframe width="560" height="315" src="https://www.youtube.com/embed/ZvcG9y7Ojuc" frameborder="0" allow="autoplay; encrypted-media" allowfullscreen></iframe>",D,"2018-09-12 21:23:43","2018-09-12 21:23:43"
9,Eat,"To consume food.","With one hand, pinch your fingers and tap them at your mouth to signify that you want to eat.","<iframe width="560" height="315" src="https://www.youtube.com/embed/QkTP_AyKk_k" frameborder="0" allow="autoplay; encrypted-media" allowfullscreen></iframe>",E,"2018-09-12 21:26:13","2018-09-12 21:26:13"
10,Enter,"To enter into a place or the Enter key on a computer.","Place your right hand over your left and with your left hand push it through and outward.","<iframe width="560" height="315" src="https://www.youtube.com/embed/vTTG2corxS0" frameborder="0" allow="autoplay; encrypted-media" allowfullscreen></iframe>",E,"2018-09-12 21:31:13","2018-09-12 21:31:13"
11,Face,"Face that contains your eyes, nose and mouth","Point and make a circle around the front of your head to refer to your face","<iframe width="560" height="315" src="https://www.youtube.com/embed/PeQLdvjfrSE" frameborder="0" allow="autoplay; encrypted-media" allowfullscreen></iframe>",F,"2018-09-12 21:35:20","2018-09-12 21:35:20"
12,Folder,"A thick folded paper that holds other regular sized papers together.","With your right hand chop into you U shaped left hand.","<iframe width="560" height="315" src="https://www.youtube.com/embed/M_12Mq3GyR4" frameborder="0" allow="autoplay; encrypted-media" allowfullscreen></iframe>",F,"2018-09-12 21:38:40","2018-09-12 21:38:40"
13,Gloves,"Things to put on your hand to add an extra layer of protection.","With one hand extent it pointing up and out and the other hand curls a fist into the other. Then copy the same action to the other hand. Pretend you are putting on gloves.","<iframe width="560" height="315" src="https://www.youtube.com/embed/YDVXrlkiGoE" frameborder="0" allow="autoplay; encrypted-media" allowfullscreen></iframe>",G,"2018-09-12 21:46:45","2018-09-12 21:46:45"
14,Group,"A collection or group or people, items or ideas.","With both hands, connect both thumbs then close the gap with your fingers.","<iframe width="560" height="315" src="https://www.youtube.com/embed/RKoboUsMKH0" frameborder="0" allow="autoplay; encrypted-media" allowfullscreen></iframe>",G,"2018-09-12 21:50:25","2018-09-12 21:50:25"
15,Hair,Hair,"With one hand pinch your hair or near your head and give a tugging motion","<iframe width="560" height="315" src="https://www.youtube.com/embed/YOQEVV-TL7c" frameborder="0" allow="autoplay; encrypted-media" allowfullscreen></iframe>",H,"2018-09-12 21:52:09","2018-09-12 21:52:09"
